id,name,year,start_time,end_time,init_lat,init_lon,vmax,mslp,cities_impacted,storm_track
AL132002,LILI,2002,2002-09-21T18:00:00,2002-10-04T12:00:00,10.2,-44.6,125,938,,"[(10.2, -44.6, 'TD'), (10.3, -46.5, 'TD'), (10.8, -48.5, 'TD'), (11.2, -50.4, 'TD'), (11.8, -52.2, 'TD'), (12.1, -54.6, 'TS'), (12.2, -56.8, 'TS'), (12.4, -58.7, 'TS'), (12.5, -60.4, 'TS'), (12.7, -62.1, 'TS'), (12.8, -63.7, 'TS'), (13.0, -64.9, 'TS'), (13.2, -66.0, 'TS'), (13.5, -66.9, 'TS'), (13.7, -67.5, 'TS'), (14.0, -68.2, 'WV'), (14.2, -68.9, 'WV'), (14.5, -69.8, 'WV'), (14.9, -71.0, 'WV'), (15.3, -72.2, 'WV'), (15.6, -73.0, 'WV'), (15.7, -73.5, 'TD'), (15.9, -74.0, 'TD'), (16.1, -74.6, 'TS'), (16.7, -75.0, 'TS'), (17.4, -75.1, 'TS'), (17.5, -75.6, 'TS'), (18.1, -75.4, 'TS'), (18.5, -75.7, 'TS'), (18.8, -76.1, 'TS'), (18.8, -76.8, 'TS'), (18.7, -77.2, 'TS'), (18.7, -77.6, 'TS'), (19.0, -78.1, 'TS'), (19.1, -78.7, 'TS'), (19.6, -79.6, 'HU'), (19.7, -79.8, 'HU'), (20.0, -80.3, 'HU'), (20.5, -81.1, 'HU'), (21.0, -82.2, 'HU'), (21.3, -83.0, 'HU'), (21.6, -83.2, 'HU'), (22.1, -84.0, 'HU'), (22.4, -84.4, 'HU'), (23.0, -85.7, 'HU'), (23.6, -87.2, 'HU'), (24.4, -88.3, 'HU'), (25.4, -89.5, 'HU'), (25.9, -89.9, 'HU'), (26.7, -90.3, 'HU'), (28.1, -91.4, 'HU'), (29.2, -92.1, 'HU'), (29.5, -92.2, 'HU'), (30.5, -92.4, 'TS'), (31.9, -92.1, 'TS'), (33.5, -91.4, 'TD'), (35.8, -90.0, 'TD')]"
AL032003,BILL,2003,2003-06-28T06:00:00,2003-07-03T00:00:00,19.5,-89.0,50,997,"hit New Orleans, USA as Tropical Storm, hit Mérida, Mexico as Low Pressure Disturbance, hit Progreso, Mexico as Low Pressure Disturbance","[(19.5, -89.0, 'LO'), (20.0, -89.3, 'LO'), (20.3, -89.4, 'LO'), (21.0, -89.8, 'LO'), (22.0, -90.0, 'TD'), (23.4, -90.5, 'TS'), (24.6, -91.1, 'TS'), (25.9, -91.3, 'TS'), (27.1, -91.5, 'TS'), (28.2, -91.5, 'TS'), (29.1, -91.0, 'TS'), (29.3, -91.0, 'TS'), (30.4, -90.3, 'TS'), (31.6, -89.3, 'TD'), (32.7, -88.4, 'TD'), (33.6, -87.0, 'TD'), (34.1, -86.0, 'TD'), (35.0, -84.5, 'TD'), (35.6, -83.5, 'TD'), (36.5, -82.0, 'EX'), (37.3, -79.5, 'EX')]"
AL042003,CLAUDETTE,2003,2003-07-07T00:00:00,2003-07-17T12:00:00,11.1,-53.5,80,979,"hit Cancún, Mexico as Tropical Storm","[(11.1, -53.5, 'WV'), (11.8, -55.3, 'WV'), (12.6, -57.5, 'WV'), (13.2, -59.8, 'WV'), (13.7, -62.0, 'WV'), (14.0, -64.8, 'WV'), (14.4, -67.6, 'WV'), (14.8, -70.0, 'TS'), (15.0, -72.0, 'TS'), (15.1, -74.4, 'TS'), (15.3, -76.5, 'TS'), (15.8, -78.6, 'TS'), (16.1, -80.3, 'TS'), (16.6, -81.7, 'TS'), (17.5, -82.8, 'HU'), (18.6, -84.1, 'TS'), (19.7, -85.5, 'TS'), (20.4, -86.3, 'TS'), (20.8, -86.9, 'TS'), (21.1, -87.2, 'TS'), (21.8, -88.2, 'TS'), (22.6, -89.2, 'TS'), (23.3, -90.2, 'TS'), (23.9, -90.7, 'TS'), (24.6, -90.9, 'TS'), (24.9, -91.5, 'TS'), (24.9, -91.9, 'TS'), (25.1, -92.1, 'TS'), (25.3, -92.2, 'TS'), (25.6, -92.2, 'TS'), (26.0, -92.3, 'TS'), (26.7, -92.6, 'TS'), (27.3, -93.0, 'TS'), (27.7, -93.6, 'TS'), (27.9, -94.6, 'HU'), (28.3, -95.5, 'HU'), (28.3, -96.2, 'HU'), (28.6, -96.9, 'HU'), (28.5, -98.2, 'TS'), (28.5, -99.4, 'TS'), (28.8, -100.8, 'TS'), (29.3, -102.6, 'TS'), (29.9, -104.3, 'TD'), (30.5, -106.0, 'LO'), (30.9, -107.7, 'LO')]"
AL082003,ERIKA,2003,2003-08-14T18:00:00,2003-08-17T00:00:00,26.4,-83.3,65,986,,"[(26.4, -83.3, 'TS'), (26.6, -85.7, 'TS'), (26.4, -88.3, 'TS'), (26.1, -90.5, 'TS'), (26.0, -92.5, 'TS'), (25.9, -94.4, 'TS'), (25.6, -96.2, 'TS'), (25.3, -97.4, 'HU'), (25.2, -97.6, 'HU'), (24.8, -98.9, 'TS'), (24.7, -100.3, 'TD')]"
AL112003,GRACE,2003,2003-08-30T12:00:00,2003-09-02T06:00:00,24.3,-92.4,35,1007,"hit Houston, USA as Tropical Storm, hit Galveston, USA as Tropical Storm","[(24.3, -92.4, 'TD'), (24.9, -93.3, 'TS'), (25.8, -94.3, 'TS'), (27.2, -94.9, 'TS'), (29.0, -95.1, 'TS'), (29.4, -95.2, 'TS'), (30.1, -95.6, 'TD'), (30.9, -96.4, 'TD'), (31.9, -96.6, 'TD'), (32.6, -96.5, 'TD'), (33.6, -95.7, 'TD'), (34.1, -95.0, 'TD'), (34.6, -94.5, 'TD')]"
AL122003,HENRI,2003,2003-09-03T18:00:00,2003-09-08T18:00:00,27.4,-87.7,50,997,"hit Tampa, USA as Tropical Depression","[(27.4, -87.7, 'TD'), (27.6, -87.8, 'TD'), (27.8, -87.6, 'TD'), (27.8, -87.2, 'TD'), (27.8, -86.3, 'TD'), (27.6, -85.8, 'TD'), (27.7, -85.1, 'TS'), (28.1, -84.4, 'TS'), (28.3, -84.2, 'TS'), (27.9, -83.9, 'TD'), (27.7, -83.5, 'TD'), (27.9, -82.8, 'TD'), (28.4, -81.8, 'TD'), (29.2, -80.4, 'TD'), (30.0, -79.5, 'TD'), (30.5, -79.2, 'TD'), (30.8, -78.5, 'TD'), (31.3, -77.9, 'TD'), (31.7, -77.1, 'TD'), (32.1, -76.5, 'TD'), (32.5, -75.9, 'TD'), (32.9, -75.3, 'EX')]"
AL172003,LARRY,2003,2003-09-27T18:00:00,2003-10-07T18:00:00,18.5,-84.7,55,993,"hit Mérida, Mexico as Low Pressure Disturbance, hit Progreso, Mexico as Low Pressure Disturbance, hit Coatzacoalcos, Mexico as Tropical Storm","[(18.5, -84.7, 'LO'), (18.7, -84.9, 'LO'), (19.0, -85.3, 'LO'), (19.3, -86.0, 'LO'), (19.7, -86.9, 'LO'), (20.0, -87.5, 'LO'), (20.3, -88.2, 'LO'), (20.6, -88.9, 'LO'), (21.0, -89.6, 'LO'), (21.2, -90.5, 'EX'), (21.4, -91.5, 'EX'), (21.3, -92.1, 'EX'), (21.2, -92.5, 'EX'), (20.9, -92.9, 'EX'), (20.9, -92.9, 'EX'), (21.0, -93.0, 'EX'), (21.0, -93.2, 'TS'), (20.9, -93.4, 'TS'), (20.7, -93.4, 'TS'), (20.5, -93.4, 'TS'), (20.4, -93.6, 'TS'), (20.5, -94.0, 'TS'), (20.3, -94.3, 'TS'), (20.1, -94.5, 'TS'), (19.9, -94.7, 'TS'), (19.6, -94.5, 'TS'), (19.5, -94.0, 'TS'), (19.3, -93.8, 'TS'), (18.8, -93.8, 'TS'), (18.6, -93.6, 'TS'), (18.5, -93.5, 'TS'), (18.4, -93.5, 'TS'), (18.4, -93.5, 'TS'), (18.2, -93.7, 'TS'), (17.9, -93.8, 'TS'), (17.5, -93.9, 'TD'), (17.2, -94.1, 'LO'), (16.9, -94.3, 'LO'), (16.6, -94.5, 'LO'), (16.3, -94.7, 'LO'), (16.0, -95.0, 'LO'), (15.8, -95.3, 'LO')]"
AL022004,BONNIE,2004,2004-08-03T12:00:00,2004-08-14T00:00:00,12.9,-53.6,55,1001,"hit Cancún, Mexico as Tropical Depression, hit George Town, Cayman Islands as WV","[(12.9, -53.6, 'TD'), (13.2, -55.4, 'TD'), (13.5, -57.4, 'TD'), (13.6, -59.5, 'TD'), (13.6, -61.6, 'TD'), (13.7, -63.7, 'WV'), (14.0, -65.7, 'WV'), (14.9, -67.7, 'WV'), (16.0, -69.7, 'WV'), (16.5, -71.5, 'WV'), (17.0, -73.0, 'WV'), (17.1, -74.6, 'WV'), (17.2, -76.2, 'WV'), (17.0, -77.2, 'WV'), (17.1, -78.2, 'WV'), (17.4, -79.2, 'WV'), (17.8, -80.2, 'WV'), (18.4, -81.1, 'WV'), (19.0, -81.9, 'WV'), (19.7, -82.7, 'WV'), (20.3, -83.5, 'TD'), (20.9, -84.3, 'TD'), (21.5, -85.5, 'TD'), (22.0, -86.6, 'TD'), (22.5, -87.6, 'TS'), (22.9, -88.3, 'TS'), (23.1, -89.0, 'TS'), (23.4, -89.8, 'TS'), (24.0, -90.6, 'TS'), (24.4, -90.6, 'TS'), (24.7, -90.6, 'TS'), (25.2, -90.6, 'TS'), (25.7, -90.4, 'TS'), (26.4, -89.6, 'TS'), (27.0, -88.8, 'TS'), (27.7, -88.1, 'TS'), (29.0, -86.1, 'TS'), (29.6, -85.1, 'TS'), (30.2, -84.0, 'TD'), (31.9, -81.3, 'TD'), (33.5, -79.0, 'TD'), (35.5, -76.5, 'TD'), (37.1, -74.9, 'TD'), (39.0, -73.5, 'LO')]"
AL032004,CHARLEY,2004,2004-08-09T12:00:00,2004-08-15T12:00:00,11.4,-59.2,130,941,"hit Tampa, USA as Hurricane, hit Havana, Cuba as Hurricane, hit George Town, Cayman Islands as Hurricane","[(11.4, -59.2, 'TD'), (11.7, -61.1, 'TD'), (12.2, -63.2, 'TD'), (12.9, -65.3, 'TS'), (13.8, -67.6, 'TS'), (14.9, -69.8, 'TS'), (15.6, -71.8, 'TS'), (16.0, -73.7, 'TS'), (16.3, -75.4, 'TS'), (16.7, -76.8, 'HU'), (17.4, -78.1, 'HU'), (18.2, -79.3, 'HU'), (19.2, -80.7, 'HU'), (20.5, -81.6, 'HU'), (21.7, -82.2, 'HU'), (22.7, -82.6, 'HU'), (23.0, -82.6, 'HU'), (24.4, -82.9, 'HU'), (26.1, -82.4, 'HU'), (26.6, -82.2, 'HU'), (26.9, -82.1, 'HU'), (28.1, -81.6, 'HU'), (30.1, -80.8, 'HU'), (32.3, -79.7, 'HU'), (33.0, -79.4, 'HU'), (33.8, -78.7, 'HU'), (34.5, -78.1, 'TS'), (36.9, -75.9, 'EX'), (39.3, -73.8, 'EX'), (41.2, -71.1, 'EX')]"
AL092004,IVAN,2004,2004-09-02T18:00:00,2004-09-24T06:00:00,9.7,-27.6,145,910,"hit Miami, USA as Extratropical Cyclone, hit Pensacola, USA as Hurricane, hit Mobile, USA as Hurricane, hit Biloxi, USA as Hurricane, hit George Town, Cayman Islands as Hurricane","[(9.7, -27.6, 'TD'), (9.7, -28.7, 'TD'), (9.7, -30.3, 'TS'), (9.5, -32.1, 'TS'), (9.3, -33.6, 'TS'), (9.1, -35.0, 'TS'), (8.9, -36.5, 'TS'), (8.9, -38.2, 'TS'), (9.0, -39.9, 'TS'), (9.3, -41.4, 'TS'), (9.5, -43.4, 'HU'), (9.8, -45.1, 'HU'), (10.2, -46.8, 'HU'), (10.6, -48.5, 'HU'), (10.8, -50.5, 'HU'), (11.0, -52.5, 'HU'), (11.3, -54.4, 'HU'), (11.2, -56.1, 'HU'), (11.3, -57.8, 'HU'), (11.6, -59.4, 'HU'), (11.8, -61.1, 'HU'), (11.9, -61.8, 'HU'), (12.0, -62.6, 'HU'), (12.3, -64.1, 'HU'), (12.6, -65.5, 'HU'), (13.0, -67.0, 'HU'), (13.3, -68.3, 'HU'), (13.7, -69.5, 'HU'), (14.2, -70.8, 'HU'), (14.7, -71.9, 'HU'), (15.2, -72.8, 'HU'), (15.7, -73.8, 'HU'), (16.2, -74.7, 'HU'), (16.8, -75.8, 'HU'), (17.3, -76.5, 'HU'), (17.4, -77.2, 'HU'), (17.4, -77.6, 'HU'), (17.7, -78.4, 'HU'), (18.0, -79.0, 'HU'), (18.2, -79.6, 'HU'), (18.4, -80.4, 'HU'), (18.8, -81.2, 'HU'), (18.9, -81.5, 'HU'), (19.1, -82.1, 'HU'), (19.5, -82.8, 'HU'), (19.9, -83.5, 'HU'), (20.4, -84.1, 'HU'), (20.9, -84.7, 'HU'), (21.2, -84.8, 'HU'), (21.6, -85.1, 'HU'), (21.7, -85.2, 'HU'), (22.4, -85.6, 'HU'), (23.0, -86.0, 'HU'), (23.7, -86.5, 'HU'), (24.7, -87.0, 'HU'), (25.6, -87.4, 'HU'), (26.7, -87.9, 'HU'), (27.9, -88.2, 'HU'), (28.9, -88.2, 'HU'), (30.0, -87.9, 'HU'), (30.2, -87.9, 'HU'), (31.4, -87.7, 'HU'), (32.5, -87.4, 'TS'), (33.8, -86.5, 'TD'), (34.7, -85.7, 'TD'), (35.4, -84.0, 'TD'), (36.2, -82.3, 'TD'), (37.0, -80.5, 'TD'), (37.7, -78.5, 'TD'), (38.4, -76.7, 'TD'), (38.0, -75.5, 'EX'), (37.5, -74.0, 'EX'), (36.0, -74.0, 'EX'), (34.5, -74.5, 'EX'), (32.8, -75.8, 'EX'), (31.0, -77.5, 'EX'), (29.0, -78.5, 'EX'), (27.5, -78.7, 'EX'), (26.4, -79.1, 'EX'), (26.1, -79.7, 'EX'), (25.9, -80.6, 'EX'), (25.8, -81.7, 'EX'), (25.2, -82.8, 'LO'), (24.8, -84.1, 'LO'), (25.1, -86.1, 'LO'), (26.0, -87.3, 'LO'), (26.5, -88.6, 'TD'), (27.1, -89.5, 'TS'), (27.9, -91.0, 'TS'), (28.9, -92.2, 'TS'), (29.2, -92.7, 'TS'), (29.6, -93.2, 'TD'), (29.8, -93.6, 'TD'), (30.1, -94.2, 'TD')]"
AL142004,MATTHEW,2004,2004-10-08T12:00:00,2004-10-11T06:00:00,24.0,-95.4,40,997,"hit New Orleans, USA as Tropical Depression","[(24.0, -95.4, 'TD'), (24.1, -94.2, 'TS'), (24.6, -93.7, 'TS'), (25.3, -93.2, 'TS'), (26.3, -92.8, 'TS'), (26.8, -92.0, 'TS'), (27.3, -91.4, 'TS'), (28.1, -91.2, 'TS'), (29.2, -91.0, 'TS'), (29.4, -90.9, 'TD'), (30.4, -90.9, 'TD'), (32.0, -91.0, 'EX'), (33.6, -91.9, 'EX')]"
AL012005,ARLENE,2005,2005-06-08T18:00:00,2005-06-14T06:00:00,16.9,-84.0,60,989,"hit Pensacola, USA as Tropical Storm, hit Mobile, USA as Tropical Storm","[(16.9, -84.0, 'TD'), (17.4, -83.9, 'TD'), (18.2, -83.9, 'TS'), (19.0, -84.0, 'TS'), (19.7, -84.1, 'TS'), (20.4, -84.2, 'TS'), (21.2, -84.4, 'TS'), (21.8, -84.5, 'TS'), (23.0, -84.7, 'TS'), (24.9, -85.1, 'TS'), (26.5, -85.6, 'TS'), (26.5, -85.6, 'TS'), (27.7, -86.8, 'TS'), (28.9, -87.2, 'TS'), (30.1, -87.5, 'TS'), (30.3, -87.5, 'TS'), (31.4, -87.6, 'TD'), (32.7, -87.7, 'TD'), (35.0, -88.0, 'TD'), (37.0, -87.8, 'TD'), (38.5, -87.5, 'TD'), (40.5, -86.0, 'TD'), (42.0, -85.0, 'LO'), (43.0, -84.0, 'EX'), (43.7, -81.1, 'EX'), (44.8, -77.6, 'EX')]"
AL022005,BRET,2005,2005-06-28T18:00:00,2005-06-30T00:00:00,19.7,-95.4,35,1002,"hit Veracruz, Mexico as Tropical Storm, hit Tampico, Mexico as Tropical Depression, hit Tuxpan, Mexico as Tropical Storm","[(19.7, -95.4, 'TD'), (19.9, -95.7, 'TS'), (20.0, -95.8, 'TS'), (20.4, -96.4, 'TS'), (20.8, -97.3, 'TS'), (21.4, -98.1, 'TD'), (22.0, -98.5, 'TD')]"
AL032005,CINDY,2005,2005-07-03T18:00:00,2005-07-11T06:00:00,18.3,-86.7,65,991,"hit New Orleans, USA as Tropical Storm, hit Mobile, USA as Tropical Storm, hit Biloxi, USA as Tropical Storm","[(18.3, -86.7, 'TD'), (18.6, -87.2, 'TD'), (19.0, -87.6, 'TD'), (19.3, -87.9, 'TD'), (20.9, -88.5, 'TD'), (22.3, -89.0, 'TD'), (23.9, -89.7, 'TD'), (25.1, -90.2, 'TS'), (26.4, -90.4, 'TS'), (27.6, -90.5, 'TS'), (28.5, -90.3, 'HU'), (29.2, -90.1, 'HU'), (29.6, -90.0, 'TS'), (30.2, -89.5, 'TS'), (30.8, -88.9, 'TS'), (31.6, -88.1, 'TD'), (32.4, -87.2, 'TD'), (33.2, -86.2, 'TD'), (34.6, -84.1, 'EX'), (35.6, -81.8, 'EX'), (37.1, -80.0, 'EX'), (37.8, -78.3, 'EX'), (38.4, -76.7, 'EX'), (39.1, -74.8, 'EX'), (39.5, -72.0, 'EX'), (40.8, -70.7, 'EX'), (41.6, -69.8, 'EX'), (43.5, -69.6, 'EX'), (44.9, -69.8, 'EX'), (45.5, -70.0, 'EX'), (46.5, -67.6, 'EX'), (48.0, -66.4, 'EX'), (48.5, -64.5, 'EX'), (48.5, -62.5, 'EX')]"
AL042005,DENNIS,2005,2005-07-04T18:00:00,2005-07-18T06:00:00,12.0,-60.8,130,930,"hit Pensacola, USA as Hurricane, hit Mobile, USA as Tropical Storm, hit Havana, Cuba as Hurricane, hit Varadero, Cuba as Hurricane, hit Cienfuegos, Cuba as Hurricane","[(12.0, -60.8, 'TD'), (12.1, -61.6, 'TD'), (12.2, -62.5, 'TD'), (12.5, -64.2, 'TD'), (13.0, -65.9, 'TS'), (13.6, -67.3, 'TS'), (14.3, -68.5, 'TS'), (14.7, -69.7, 'TS'), (15.1, -70.9, 'TS'), (15.6, -71.9, 'TS'), (16.2, -73.0, 'HU'), (16.7, -74.1, 'HU'), (17.6, -74.9, 'HU'), (18.5, -76.1, 'HU'), (19.4, -77.1, 'HU'), (19.9, -77.6, 'HU'), (20.3, -78.4, 'HU'), (20.9, -79.5, 'HU'), (22.0, -80.6, 'HU'), (22.1, -80.7, 'HU'), (22.7, -81.6, 'HU'), (23.4, -82.5, 'HU'), (24.3, -83.4, 'HU'), (25.2, -84.2, 'HU'), (26.1, -85.0, 'HU'), (27.2, -85.8, 'HU'), (28.5, -86.3, 'HU'), (29.9, -86.9, 'HU'), (30.4, -87.1, 'HU'), (31.5, -87.7, 'TS'), (32.6, -88.5, 'TD'), (33.9, -88.8, 'TD'), (35.3, -89.1, 'TD'), (36.4, -89.2, 'TD'), (37.1, -89.0, 'TD'), (37.7, -88.7, 'TD'), (38.1, -88.3, 'TD'), (38.5, -87.8, 'TD'), (38.9, -87.2, 'TD'), (39.2, -86.5, 'LO'), (39.2, -85.8, 'LO'), (39.2, -85.7, 'LO'), (39.0, -85.6, 'LO'), (38.7, -85.6, 'LO'), (38.4, -85.6, 'LO'), (38.1, -85.8, 'LO'), (37.9, -86.2, 'LO'), (38.1, -86.4, 'LO'), (38.4, -86.6, 'LO'), (38.6, -86.8, 'LO'), (39.4, -86.5, 'LO'), (40.2, -86.2, 'LO'), (40.8, -85.2, 'LO'), (41.3, -84.1, 'LO'), (42.2, -83.2, 'LO'), (43.1, -82.3, 'LO'), (43.9, -81.4, 'LO'), (44.6, -80.5, 'LO'), (45.8, -79.8, 'LO')]"
AL052005,EMILY,2005,2005-07-11T00:00:00,2005-07-21T12:00:00,10.7,-42.4,140,929,"hit Mérida, Mexico as Hurricane, hit Progreso, Mexico as Hurricane","[(10.7, -42.4, 'TD'), (10.8, -43.4, 'TD'), (10.9, -44.4, 'TD'), (11.0, -45.4, 'TD'), (11.0, -46.8, 'TS'), (11.0, -48.5, 'TS'), (11.0, -50.2, 'TS'), (11.0, -52.0, 'TS'), (11.0, -53.7, 'TS'), (11.1, -55.4, 'TS'), (11.2, -57.2, 'TS'), (11.4, -58.9, 'TS'), (11.6, -60.2, 'HU'), (11.9, -61.5, 'HU'), (12.0, -61.8, 'HU'), (12.4, -63.2, 'HU'), (12.9, -64.9, 'HU'), (13.3, -66.7, 'HU'), (13.7, -68.4, 'HU'), (14.1, -70.1, 'HU'), (14.5, -71.8, 'HU'), (14.9, -73.4, 'HU'), (15.4, -75.0, 'HU'), (15.9, -76.5, 'HU'), (16.4, -78.0, 'HU'), (17.1, -79.5, 'HU'), (17.7, -81.2, 'HU'), (18.3, -82.8, 'HU'), (18.9, -84.3, 'HU'), (19.5, -85.8, 'HU'), (20.3, -87.3, 'HU'), (20.3, -87.4, 'HU'), (21.3, -88.9, 'HU'), (22.0, -90.3, 'HU'), (22.6, -91.5, 'HU'), (23.2, -92.8, 'HU'), (23.7, -94.0, 'HU'), (24.1, -95.1, 'HU'), (24.4, -96.1, 'HU'), (24.6, -96.9, 'HU'), (24.8, -97.6, 'HU'), (25.0, -98.7, 'TS'), (25.0, -99.7, 'TS'), (25.0, -100.5, 'TD'), (25.0, -101.1, 'TD')]"
AL072005,GERT,2005,2005-07-23T18:00:00,2005-07-25T18:00:00,19.3,-92.9,40,1005,"hit Tampico, Mexico as Tropical Storm, hit Tuxpan, Mexico as Tropical Storm","[(19.3, -92.9, 'TD'), (19.8, -93.8, 'TD'), (20.8, -95.0, 'TS'), (21.0, -95.8, 'TS'), (21.4, -96.6, 'TS'), (21.8, -97.6, 'TS'), (22.3, -98.6, 'TD'), (22.5, -100.0, 'TD'), (22.5, -101.4, 'LO')]"
AL112005,JOSE,2005,2005-08-22T12:00:00,2005-08-23T12:00:00,19.4,-94.5,50,998,"hit Veracruz, Mexico as Tropical Storm","[(19.4, -94.5, 'TD'), (19.6, -95.0, 'TS'), (19.7, -95.7, 'TS'), (19.7, -96.4, 'TS'), (19.7, -96.7, 'TS'), (19.7, -97.7, 'TD')]"
AL122005,KATRINA,2005,2005-08-23T18:00:00,2005-08-31T06:00:00,23.1,-75.1,150,902,"hit New Orleans, USA as Hurricane, hit Miami, USA as Hurricane, hit Biloxi, USA as Hurricane, hit Key West, USA as Hurricane, hit Nassau, Bahamas as Tropical Storm","[(23.1, -75.1, 'TD'), (23.4, -75.7, 'TD'), (23.8, -76.2, 'TD'), (24.5, -76.5, 'TS'), (25.4, -76.9, 'TS'), (26.0, -77.7, 'TS'), (26.1, -78.4, 'TS'), (26.2, -79.0, 'TS'), (26.2, -79.6, 'TS'), (26.0, -80.1, 'HU'), (25.9, -80.3, 'HU'), (25.4, -81.3, 'HU'), (25.1, -82.0, 'HU'), (24.9, -82.6, 'HU'), (24.6, -83.3, 'HU'), (24.4, -84.0, 'HU'), (24.4, -84.7, 'HU'), (24.5, -85.3, 'HU'), (24.8, -85.9, 'HU'), (25.2, -86.7, 'HU'), (25.7, -87.7, 'HU'), (26.3, -88.6, 'HU'), (27.2, -89.2, 'HU'), (28.2, -89.6, 'HU'), (29.3, -89.6, 'HU'), (29.5, -89.6, 'HU'), (30.2, -89.6, 'HU'), (31.1, -89.6, 'HU'), (32.6, -89.1, 'TS'), (34.1, -88.6, 'TS'), (35.6, -88.0, 'TD'), (37.0, -87.0, 'TD'), (38.6, -85.3, 'EX'), (40.1, -82.9, 'EX')]"
AL182005,RITA,2005,2005-09-18T00:00:00,2005-09-26T06:00:00,21.3,-69.9,155,895,"hit Key West, USA as Hurricane, hit Varadero, Cuba as Hurricane","[(21.3, -69.9, 'TD'), (21.6, -70.7, 'TD'), (21.9, -71.5, 'TD'), (22.2, -72.3, 'TS'), (22.4, -73.0, 'TS'), (22.6, -73.8, 'TS'), (22.8, -74.7, 'TS'), (23.1, -75.9, 'TS'), (23.3, -77.2, 'TS'), (23.5, -78.8, 'TS'), (23.7, -80.3, 'HU'), (23.9, -81.6, 'HU'), (24.1, -82.7, 'HU'), (24.2, -84.0, 'HU'), (24.2, -85.2, 'HU'), (24.3, -86.2, 'HU'), (24.5, -86.9, 'HU'), (24.7, -87.3, 'HU'), (24.8, -87.6, 'HU'), (25.2, -88.3, 'HU'), (25.6, -89.1, 'HU'), (26.0, -89.9, 'HU'), (26.5, -90.7, 'HU'), (27.1, -91.5, 'HU'), (27.8, -92.3, 'HU'), (28.6, -93.0, 'HU'), (29.4, -93.6, 'HU'), (29.7, -93.7, 'HU'), (30.5, -94.1, 'HU'), (31.6, -94.1, 'TS'), (32.7, -94.0, 'TS'), (33.7, -93.6, 'TD'), (34.7, -92.5, 'TD'), (35.8, -91.4, 'TD'), (37.0, -90.1, 'TD'), (39.5, -88.0, 'LO')]"
AL202005,STAN,2005,2005-10-01T12:00:00,2005-10-05T06:00:00,18.9,-85.6,70,977,"hit Campeche, Mexico as Tropical Storm, hit Mérida, Mexico as Tropical Depression, hit Progreso, Mexico as Tropical Depression, hit Coatzacoalcos, Mexico as Hurricane","[(18.9, -85.6, 'TD'), (19.1, -86.2, 'TD'), (19.3, -86.7, 'TD'), (19.5, -87.2, 'TS'), (19.6, -87.5, 'TS'), (19.8, -87.9, 'TS'), (20.3, -88.8, 'TS'), (20.5, -89.8, 'TD'), (20.5, -91.0, 'TS'), (20.3, -91.7, 'TS'), (20.1, -92.2, 'TS'), (19.8, -93.2, 'TS'), (19.2, -94.1, 'HU'), (18.6, -94.9, 'HU'), (17.9, -95.6, 'TS'), (17.2, -96.4, 'TD'), (16.9, -97.0, 'TD')]"
AL252005,WILMA,2005,2005-10-15T18:00:00,2005-10-26T18:00:00,17.6,-78.5,160,882,"hit Miami, USA as Hurricane, hit Cancún, Mexico as Hurricane","[(17.6, -78.5, 'TD'), (17.6, -78.8, 'TD'), (17.5, -79.0, 'TD'), (17.5, -79.2, 'TD'), (17.5, -79.4, 'TD'), (17.4, -79.6, 'TD'), (16.9, -79.6, 'TS'), (16.3, -79.7, 'TS'), (16.0, -79.8, 'TS'), (15.8, -79.9, 'TS'), (15.7, -79.9, 'TS'), (16.2, -80.3, 'HU'), (16.6, -81.1, 'HU'), (16.6, -81.8, 'HU'), (17.0, -82.2, 'HU'), (17.3, -82.8, 'HU'), (17.4, -83.4, 'HU'), (17.9, -84.0, 'HU'), (18.1, -84.7, 'HU'), (18.3, -85.2, 'HU'), (18.6, -85.5, 'HU'), (19.1, -85.8, 'HU'), (19.5, -86.1, 'HU'), (20.1, -86.4, 'HU'), (20.3, -86.7, 'HU'), (20.6, -86.8, 'HU'), (20.6, -86.8, 'HU'), (20.8, -86.9, 'HU'), (20.8, -87.0, 'HU'), (21.0, -87.1, 'HU'), (21.3, -87.1, 'HU'), (21.6, -87.0, 'HU'), (21.8, -86.8, 'HU'), (22.4, -86.1, 'HU'), (23.1, -85.4, 'HU'), (24.0, -84.3, 'HU'), (25.0, -83.1, 'HU'), (25.9, -81.7, 'HU'), (26.2, -81.0, 'HU'), (28.0, -78.8, 'HU'), (30.1, -76.0, 'HU'), (33.3, -72.0, 'HU'), (36.8, -67.9, 'HU'), (40.5, -63.5, 'HU'), (42.5, -60.0, 'EX'), (44.0, -57.5, 'EX'), (45.0, -55.0, 'EX'), (45.5, -52.0, 'EX')]"
