id,name,year,start_time,end_time,init_lat,init_lon,vmax,mslp,cities_impacted,storm_track
AL122000,HELENE,2000,2000-09-15T12:00:00,2000-09-25T18:00:00,14.9,-52.2,60,986,"hit Pensacola, USA as Tropical Storm, hit George Town, Cayman Islands as Tropical Depression","[(14.9, -52.2, 'TD'), (15.3, -53.0, 'TD'), (15.6, -53.6, 'TD'), (15.8, -54.4, 'TD'), (16.1, -55.9, 'TD'), (16.4, -58.0, 'WV'), (16.6, -59.9, 'WV'), (16.6, -61.7, 'WV'), (16.4, -63.6, 'WV'), (16.7, -65.6, 'WV'), (17.0, -67.1, 'WV'), (17.1, -68.7, 'WV'), (17.2, -70.6, 'WV'), (17.4, -72.5, 'WV'), (17.6, -74.4, 'WV'), (18.3, -76.3, 'WV'), (18.9, -78.3, 'WV'), (19.4, -79.6, 'TD'), (19.9, -81.0, 'TD'), (20.7, -82.6, 'TD'), (21.8, -84.3, 'TD'), (23.0, -85.4, 'TD'), (23.9, -86.1, 'TD'), (24.9, -86.6, 'TS'), (26.1, -87.0, 'TS'), (27.1, -87.1, 'TS'), (28.4, -87.2, 'TS'), (29.5, -87.2, 'TS'), (30.5, -86.6, 'TS'), (31.6, -85.4, 'TD'), (32.9, -83.5, 'TD'), (33.6, -81.7, 'TD'), (34.4, -80.0, 'TD'), (35.4, -78.0, 'TS'), (36.4, -76.1, 'TS'), (37.2, -74.7, 'TS'), (38.0, -72.5, 'TS'), (39.2, -70.1, 'TS'), (40.1, -66.8, 'TS'), (41.6, -62.2, 'TS'), (44.0, -55.5, 'TS'), (46.1, -48.8, 'TS')]"
AL152000,KEITH,2000,2000-09-28T18:00:00,2000-10-06T12:00:00,16.1,-82.9,120,939,"hit Tampico, Mexico as Hurricane, hit Campeche, Mexico as Tropical Depression, hit Belize City, Belize as Hurricane","[(16.1, -82.9, 'TD'), (16.2, -83.3, 'TD'), (16.6, -83.6, 'TD'), (16.9, -84.0, 'TD'), (17.4, -84.8, 'TS'), (17.7, -85.4, 'TS'), (17.9, -86.0, 'TS'), (17.9, -86.4, 'HU'), (17.9, -86.7, 'HU'), (17.9, -86.9, 'HU'), (17.9, -87.2, 'HU'), (17.9, -87.3, 'HU'), (17.9, -87.4, 'HU'), (17.9, -87.7, 'HU'), (17.8, -87.9, 'HU'), (17.6, -87.8, 'HU'), (17.7, -87.8, 'HU'), (17.7, -87.9, 'HU'), (17.9, -88.0, 'HU'), (17.9, -88.0, 'TS'), (17.9, -88.2, 'TS'), (18.0, -88.4, 'TS'), (18.3, -88.8, 'TD'), (18.6, -89.5, 'TD'), (19.0, -90.4, 'TD'), (19.5, -91.4, 'TD'), (19.9, -92.5, 'TS'), (20.3, -93.5, 'TS'), (20.7, -94.8, 'TS'), (21.2, -96.1, 'HU'), (21.8, -97.0, 'HU'), (22.6, -97.9, 'HU'), (23.2, -99.0, 'TS'), (23.5, -100.0, 'TD'), (23.8, -101.0, 'TD')]"
AL012001,ALLISON,2001,2001-06-05T12:00:00,2001-06-19T00:00:00,27.5,-95.0,50,1000,"hit New Orleans, USA as Subtropical Storm, hit Houston, USA as Tropical Depression, hit Pensacola, USA as Subtropical Depression, hit Mobile, USA as Subtropical Storm, hit Galveston, USA as Tropical Storm, hit Biloxi, USA as Subtropical Storm","[(27.5, -95.0, 'TS'), (28.5, -95.3, 'TS'), (28.9, -95.3, 'TS'), (29.3, -95.3, 'TS'), (30.1, -95.2, 'TD'), (31.0, -95.2, 'TD'), (31.5, -95.0, 'TD'), (31.6, -95.0, 'TD'), (31.8, -94.9, 'TD'), (31.4, -94.9, 'TD'), (31.1, -95.0, 'TD'), (30.9, -95.6, 'TD'), (30.7, -96.1, 'TD'), (30.4, -96.2, 'TD'), (30.2, -96.1, 'TD'), (29.9, -95.9, 'TD'), (29.6, -95.8, 'TD'), (29.3, -95.8, 'TD'), (28.9, -95.6, 'TD'), (28.6, -95.2, 'SD'), (28.6, -94.7, 'SD'), (28.7, -94.3, 'SD'), (28.8, -93.5, 'SD'), (29.1, -92.3, 'SD'), (29.6, -91.6, 'SD'), (30.0, -90.5, 'SS'), (30.7, -89.4, 'SS'), (31.0, -88.4, 'SS'), (31.3, -87.4, 'SD'), (31.8, -86.1, 'SD'), (32.4, -84.7, 'SD'), (32.8, -83.6, 'SD'), (33.1, -82.6, 'SD'), (33.4, -81.6, 'SD'), (33.7, -80.7, 'SD'), (34.0, -79.6, 'SD'), (34.3, -78.5, 'SD'), (34.6, -77.9, 'SD'), (34.7, -77.7, 'SD'), (34.6, -77.6, 'SD'), (34.6, -77.2, 'SD'), (34.9, -77.0, 'SD'), (35.5, -76.9, 'SD'), (35.9, -76.8, 'SD'), (36.3, -76.6, 'SD'), (36.6, -76.2, 'SD'), (36.8, -75.9, 'SD'), (37.2, -75.5, 'SD'), (37.8, -75.4, 'SD'), (38.6, -74.5, 'SD'), (39.3, -73.4, 'SS'), (40.0, -72.1, 'SS'), (40.6, -70.8, 'EX'), (41.3, -69.4, 'EX'), (42.0, -67.4, 'EX'), (42.7, -64.6, 'EX'), (43.5, -61.0, 'EX')]"
AL032001,BARRY,2001,2001-08-02T12:00:00,2001-08-08T06:00:00,25.7,-84.8,60,990,"hit Pensacola, USA as Tropical Storm","[(25.7, -84.8, 'TD'), (26.2, -84.9, 'TS'), (26.4, -85.6, 'TS'), (26.6, -86.3, 'TS'), (26.9, -87.0, 'TS'), (26.8, -87.2, 'TS'), (26.7, -87.5, 'TD'), (26.6, -87.8, 'TD'), (26.9, -87.7, 'TD'), (27.1, -87.5, 'TS'), (27.3, -87.3, 'TS'), (27.5, -86.7, 'TS'), (28.1, -86.4, 'TS'), (28.6, -86.4, 'TS'), (29.5, -86.3, 'TS'), (30.4, -86.3, 'TS'), (30.6, -86.4, 'TS'), (31.8, -86.9, 'TD'), (32.7, -87.7, 'TD'), (33.3, -88.5, 'TD'), (34.0, -89.1, 'LO'), (34.7, -89.7, 'LO'), (35.6, -89.8, 'LO'), (36.6, -89.9, 'LO'), (37.5, -90.0, 'LO')]"
AL042001,CHANTAL,2001,2001-08-14T18:00:00,2001-08-22T12:00:00,12.8,-37.0,60,997,"hit Ciudad del Carmen, Mexico as Tropical Depression, hit Belize City, Belize as Tropical Storm","[(12.8, -37.0, 'TD'), (12.9, -39.3, 'TD'), (12.6, -41.6, 'TD'), (12.3, -43.9, 'TD'), (12.3, -46.3, 'TD'), (12.4, -48.8, 'TD'), (12.4, -51.3, 'TD'), (12.7, -53.9, 'WV'), (12.7, -57.2, 'WV'), (13.1, -60.6, 'WV'), (13.3, -62.8, 'WV'), (13.7, -64.6, 'TS'), (14.2, -66.4, 'TS'), (14.4, -68.2, 'TS'), (14.6, -70.4, 'TS'), (14.8, -72.9, 'TS'), (15.3, -75.2, 'TS'), (15.3, -77.2, 'TS'), (15.4, -78.4, 'TS'), (15.7, -79.6, 'TS'), (16.2, -81.1, 'TS'), (16.7, -82.6, 'TS'), (17.1, -84.1, 'TS'), (17.5, -85.6, 'TS'), (17.9, -86.7, 'TS'), (18.1, -87.7, 'TS'), (18.1, -87.8, 'TS'), (18.2, -88.1, 'TS'), (18.4, -88.7, 'TS'), (18.6, -89.5, 'TS'), (18.7, -90.3, 'TD'), (18.4, -91.2, 'TD'), (17.9, -92.2, 'TD')]"
AL082001,GABRIELLE,2001,2001-09-11T18:00:00,2001-09-21T18:00:00,25.8,-84.1,70,975,"hit Tampa, USA as Tropical Storm","[(25.8, -84.1, 'TD'), (25.7, -84.6, 'TD'), (25.7, -85.0, 'TD'), (25.6, -85.3, 'TD'), (25.4, -85.4, 'TD'), (25.1, -85.7, 'TD'), (25.2, -85.3, 'TD'), (25.3, -84.9, 'TS'), (25.4, -84.5, 'TS'), (25.4, -84.1, 'TS'), (25.8, -83.6, 'TS'), (27.1, -82.6, 'TS'), (28.0, -81.8, 'TS'), (28.6, -81.4, 'TS'), (28.6, -80.9, 'TS'), (28.9, -80.1, 'TS'), (29.8, -79.0, 'TS'), (30.4, -77.9, 'TS'), (30.8, -76.8, 'TS'), (31.6, -74.9, 'TS'), (32.3, -72.8, 'TS'), (33.1, -70.7, 'HU'), (34.0, -68.5, 'HU'), (35.3, -66.6, 'HU'), (36.2, -64.7, 'HU'), (36.9, -62.9, 'TS'), (37.9, -61.8, 'TS'), (39.0, -60.4, 'TS'), (40.2, -58.9, 'TS'), (41.5, -57.5, 'TS'), (42.8, -55.5, 'EX'), (43.5, -54.0, 'EX'), (46.5, -52.0, 'EX'), (48.5, -48.5, 'EX'), (50.0, -46.0, 'EX'), (52.0, -43.0, 'EX'), (54.0, -40.0, 'EX'), (55.0, -37.5, 'EX'), (55.0, -35.0, 'EX'), (56.0, -32.5, 'EX'), (57.5, -31.0, 'EX')]"
AL152001,MICHELLE,2001,2001-10-29T18:00:00,2001-11-06T18:00:00,13.3,-83.6,120,933,"hit Cienfuegos, Cuba as Hurricane","[(13.3, -83.6, 'TD'), (13.7, -83.6, 'TD'), (13.7, -84.1, 'TD'), (13.3, -83.9, 'TD'), (13.0, -83.5, 'TD'), (13.7, -83.6, 'TD'), (14.3, -83.4, 'TD'), (14.8, -83.2, 'TD'), (15.3, -83.1, 'TD'), (15.8, -83.1, 'TS'), (16.5, -83.4, 'TS'), (16.8, -83.6, 'TS'), (17.0, -83.8, 'TS'), (17.3, -83.9, 'TS'), (17.5, -83.9, 'TS'), (17.8, -84.0, 'HU'), (18.0, -84.0, 'HU'), (18.5, -84.0, 'HU'), (18.8, -84.3, 'HU'), (18.9, -84.3, 'HU'), (19.3, -84.1, 'HU'), (19.4, -83.9, 'HU'), (19.7, -83.7, 'HU'), (20.1, -83.3, 'HU'), (20.8, -82.5, 'HU'), (21.5, -81.8, 'HU'), (22.1, -81.2, 'HU'), (22.3, -80.9, 'HU'), (23.1, -79.7, 'HU'), (24.3, -78.0, 'HU'), (25.4, -76.4, 'HU'), (26.3, -74.5, 'EX'), (26.9, -72.6, 'EX'), (27.3, -69.7, 'EX'), (28.7, -66.5, 'EX')]"
AL062002,FAY,2002,2002-09-05T18:00:00,2002-09-11T00:00:00,28.0,-93.8,50,998,,"[(28.0, -93.8, 'TD'), (27.8, -93.9, 'TS'), (27.6, -94.1, 'TS'), (27.7, -94.5, 'TS'), (27.8, -94.7, 'TS'), (27.9, -95.0, 'TS'), (28.1, -95.6, 'TS'), (28.5, -96.3, 'TS'), (29.1, -96.9, 'TD'), (28.9, -98.5, 'TD'), (28.9, -98.9, 'TD'), (28.7, -99.3, 'LO'), (29.0, -99.5, 'LO'), (28.9, -99.1, 'LO'), (28.5, -99.2, 'LO'), (28.3, -99.2, 'LO'), (28.1, -99.4, 'LO'), (27.8, -99.6, 'LO'), (27.4, -99.5, 'LO'), (27.0, -99.3, 'LO'), (26.8, -99.8, 'LO'), (26.6, -100.4, 'LO'), (26.5, -101.0, 'LO')]"
AL092002,HANNA,2002,2002-09-12T00:00:00,2002-09-15T12:00:00,26.3,-86.6,50,1001,"hit Pensacola, USA as Tropical Depression, hit Mobile, USA as Tropical Depression, hit Biloxi, USA as Tropical Storm","[(26.3, -86.6, 'TD'), (26.7, -86.4, 'TS'), (27.0, -86.7, 'TS'), (27.1, -87.5, 'TS'), (26.7, -88.0, 'TS'), (26.9, -88.8, 'TS'), (27.4, -89.3, 'TS'), (27.7, -89.3, 'TS'), (28.0, -89.2, 'TS'), (28.7, -89.1, 'TS'), (29.1, -89.1, 'TS'), (30.0, -88.8, 'TS'), (30.4, -88.4, 'TS'), (30.8, -88.0, 'TD'), (31.5, -87.0, 'TD'), (32.0, -86.0, 'TD'), (33.0, -85.0, 'TD')]"
AL102002,ISIDORE,2002,2002-09-14T18:00:00,2002-09-27T18:00:00,10.0,-60.5,110,934,"hit New Orleans, USA as Tropical Storm, hit Mérida, Mexico as Tropical Storm, hit Progreso, Mexico as Tropical Storm, hit George Town, Cayman Islands as Tropical Storm","[(10.0, -60.5, 'TD'), (10.2, -62.4, 'TD'), (10.6, -64.3, 'TD'), (11.2, -66.4, 'TD'), (12.3, -68.5, 'WV'), (14.2, -70.5, 'WV'), (15.0, -71.9, 'WV'), (15.5, -73.2, 'WV'), (15.7, -74.5, 'WV'), (15.8, -75.3, 'WV'), (15.8, -76.1, 'WV'), (15.9, -76.8, 'TD'), (16.3, -77.4, 'TD'), (16.7, -77.7, 'TD'), (17.1, -78.1, 'TS'), (17.7, -78.5, 'TS'), (18.7, -78.6, 'TS'), (19.3, -79.3, 'TS'), (19.7, -80.4, 'TS'), (19.9, -80.9, 'TS'), (20.4, -81.7, 'HU'), (20.7, -82.3, 'HU'), (21.1, -83.0, 'HU'), (21.5, -83.5, 'HU'), (21.8, -84.0, 'HU'), (22.0, -84.1, 'HU'), (22.1, -84.3, 'HU'), (22.3, -85.1, 'HU'), (22.0, -85.8, 'HU'), (21.9, -86.1, 'HU'), (22.1, -86.5, 'HU'), (22.0, -87.4, 'HU'), (21.9, -88.2, 'HU'), (21.6, -88.9, 'HU'), (21.3, -89.3, 'HU'), (21.0, -89.4, 'HU'), (20.6, -89.6, 'HU'), (20.1, -89.6, 'TS'), (20.3, -89.4, 'TS'), (20.5, -89.3, 'TS'), (21.0, -89.5, 'TS'), (21.7, -89.7, 'TS'), (22.1, -89.8, 'TS'), (23.0, -89.7, 'TS'), (24.2, -89.7, 'TS'), (25.4, -90.2, 'TS'), (26.3, -90.4, 'TS'), (27.5, -90.3, 'TS'), (29.1, -90.3, 'TS'), (30.0, -89.9, 'TS'), (32.2, -89.8, 'TS'), (33.0, -89.0, 'TD'), (35.0, -86.5, 'TD'), (39.1, -82.9, 'TD'), (40.9, -79.5, 'EX')]"
