date     ,min_temp ,rainfall ,windspeed ,humidity ,cloudcover              ,OLS
8/15/21  ,       0 ,     4.9 ,        7 ,      52 ,Mostly Cloudy           ,0.7879420188441469
4/14/21  ,       0 ,     1.2 ,        7 ,      88 ,Heavy T-Storm           ,0.5597849576015754
10/27/21 ,      65 ,     3.6 ,       21 ,      36 ,Partly Cloudy / Windy   ,0.5093250453785944
7/30/21  ,      79 ,     2.3 ,       22 ,      52 ,Thunder / Windy         ,0.4783292482942994
2/11/21  ,      40 ,     2.6 ,       17 ,      86 ,Cloudy                  ,0.4041459801366605
8/18/21  ,       0 ,     0.5 ,       14 ,      77 ,                        ,0.3804999888461365
6/22/21  ,       0 ,     1.3 ,       14 ,      54 ,Partly Cloudy           ,0.3755475488629241
6/29/21  ,      77 ,     3.2 ,        0 ,      82 ,Mostly Cloudy           ,0.36568722015270694
8/26/21  ,       0 ,     0.8 ,        7 ,      55 ,Mostly Cloudy           ,0.3637484437527775
2/14/21  ,      28 ,     0.0 ,       14 ,      82 ,Rain                    ,0.3625425817702534
6/28/21  ,      75 ,     4.7 ,        7 ,      87 ,Light Rain              ,0.36047939052240985
1/10/21  ,      37 ,     1.5 ,       18 ,      89 ,Rain                    ,0.35556870860306783
9/2/21   ,      81 ,     4.1 ,       10 ,      72 ,Cloudy                  ,0.3492293086831708
9/14/21  ,      71 ,     4.1 ,       14 ,      79 ,Cloudy                  ,0.3399998744610234
10/28/21 ,      61 ,     0.0 ,       29 ,      17 ,Fair / Windy            ,0.30086443843075267
1/27/21  ,      51 ,     0.0 ,       22 ,      22 ,Mostly Cloudy / Windy   ,0.2956280488415331
7/31/21  ,      80 ,     0.0 ,       10 ,      67 ,Thunder in the Vicinity ,0.2877102280421014
11/25/21 ,      55 ,     1.3 ,       20 ,      84 ,Light Rain              ,0.28357556528449834
2/16/21  ,      15 ,     0.0 ,        7 ,      46 ,Cloudy                  ,0.2758855601475534
2/15/21  ,      18 ,     0.0 ,       15 ,      66 ,Partly Cloudy           ,0.27482630564284394
9/13/21  ,      73 ,     3.9 ,       12 ,      88 ,Light Rain              ,0.2656773552843525
2/17/21  ,      33 ,     0.3 ,       14 ,      89 ,Cloudy                  ,0.25766341477373006
8/16/21  ,      76 ,     0.0 ,       12 ,      53 ,Thunder                 ,0.25612746080458726
10/15/21 ,      74 ,     0.0 ,       25 ,      69 ,Light Rain with Thunder ,0.2554986643906848
2/10/21  ,      48 ,     0.3 ,        7 ,      84 ,Haze                    ,0.25322000998668376
12/18/21 ,      54 ,     2.3 ,       10 ,      87 ,Light Rain with Thunder ,0.24016056963546686
4/16/21  ,      65 ,     0.2 ,        5 ,      91 ,Fog                     ,0.23312847766577036
3/1/21   ,      53 ,     1.1 ,       21 ,      72 ,Cloudy / Windy          ,0.23245598793031183
7/19/21  ,      76 ,     2.3 ,       15 ,      52 ,Mostly Cloudy           ,0.23145830594857728
8/25/21  ,      81 ,     0.0 ,        5 ,      52 ,Light Rain              ,0.23066332024134154
2/12/21  ,      36 ,     0.0 ,       20 ,      79 ,Cloudy                  ,0.230159727966456
10/23/21 ,      71 ,     0.7 ,        6 ,      71 ,Thunder                 ,0.22970489282923975
7/3/21   ,      79 ,     1.0 ,        0 ,      74 ,Cloudy                  ,0.2289006534226101
1/6/21   ,      54 ,     1.0 ,       24 ,      53 ,Mostly Cloudy / Windy   ,0.2241884414576188
3/17/21  ,      59 ,     0.5 ,       22 ,      20 ,Partly Cloudy / Windy   ,0.2199999545770868
2/18/21  ,      32 ,     0.0 ,       18 ,      60 ,Fair                    ,0.21981573299474372
1/12/21  ,      34 ,     0.0 ,        3 ,      48 ,Cloudy                  ,0.21697851710726113
5/24/21  ,      74 ,     3.2 ,       15 ,      79 ,Light Rain              ,0.2159652661513348
6/3/21   ,      72 ,     1.9 ,        7 ,      76 ,Cloudy                  ,0.21384404421500586
9/29/21  ,      69 ,     2.2 ,        8 ,      57 ,Mostly Cloudy           ,0.21071006648468585
5/18/21  ,      67 ,     2.5 ,       15 ,      69 ,Mostly Cloudy           ,0.21070393265639115
11/11/21 ,      62 ,     0.9 ,       14 ,      59 ,Fair                    ,0.21018229135204006
7/14/21  ,      77 ,     0.2 ,       18 ,      81 ,Light Rain with Thunder ,0.20868036441036072
5/19/21  ,      67 ,     1.9 ,        7 ,      87 ,Light Rain              ,0.20760233086954033
12/10/21 ,      77 ,     0.0 ,       28 ,      65 ,Mostly Cloudy / Windy   ,0.20698897609279032
7/9/21   ,      74 ,     2.5 ,        7 ,      84 ,Light Rain              ,0.20570727812397777
12/20/21 ,      48 ,     0.1 ,        0 ,      59 ,Mostly Cloudy           ,0.20273963935358136
6/5/21   ,      73 ,     0.0 ,       14 ,      67 ,Thunder                 ,0.20176021741964958
9/1/21   ,      82 ,     1.0 ,        3 ,      74 ,Mostly Cloudy           ,0.20021757869890708
11/21/21 ,      64 ,     1.0 ,        7 ,      62 ,Mostly Cloudy           ,0.1993868414573503
10/11/21 ,      71 ,     1.0 ,        3 ,      37 ,Partly Cloudy           ,0.19705463109331658
3/24/21  ,      64 ,     0.0 ,       26 ,      73 ,Cloudy / Windy          ,0.1958170018088706
10/29/21 ,      58 ,     0.0 ,       24 ,      20 ,Fair / Windy            ,0.19547742510601468
2/13/21  ,      36 ,     0.0 ,       13 ,      67 ,Cloudy                  ,0.1952143633590213
11/3/21  ,      59 ,     0.7 ,       12 ,      75 ,Light Rain with Thunder ,0.1944525774415131
4/30/21  ,      71 ,     1.6 ,       10 ,      73 ,Cloudy                  ,0.19255856505292795
12/2/21  ,      56 ,     0.0 ,        0 ,      56 ,Cloudy                  ,0.19242240422566873
8/6/21   ,      78 ,     0.0 ,        7 ,      79 ,                        ,0.19235780707671407
5/29/21  ,      70 ,     0.7 ,        0 ,      40 ,Fair                    ,0.19060949838569302
2/19/21  ,      26 ,     0.0 ,        7 ,      35 ,Fair                    ,0.19049385536632668
12/7/21  ,      57 ,     0.0 ,        0 ,      63 ,Cloudy                  ,0.1879000497876675
7/5/21   ,      79 ,     1.9 ,        7 ,      65 ,Mostly Cloudy           ,0.1878216894029012
1/20/21  ,      59 ,     0.0 ,       13 ,      84 ,Haze                    ,0.18759902460759398
4/3/21   ,      53 ,     0.0 ,       13 ,      58 ,Light Rain              ,0.18711148558412244
1/11/21  ,      36 ,     0.0 ,       17 ,      58 ,Mostly Cloudy           ,0.18675909034757018
4/23/21  ,      68 ,     0.0 ,       17 ,      85 ,Light Rain              ,0.18504626798165563
5/22/21  ,      74 ,     2.1 ,       14 ,      79 ,Light Rain              ,0.18098969104297985
5/16/21  ,      72 ,     0.6 ,       12 ,      87 ,Light Rain with Thunder ,0.1790972703305013
8/13/21  ,      80 ,     0.1 ,        9 ,      79 ,Thunder                 ,0.1780392288495005
1/30/21  ,      58 ,     0.0 ,       18 ,      68 ,Light Rain              ,0.1780275166021658
10/7/21  ,      69 ,     0.0 ,        0 ,      27 ,Fair                    ,0.17737626068849505
3/29/21  ,      49 ,     0.0 ,       15 ,      26 ,Mostly Cloudy           ,0.17679736803661553
5/17/21  ,      70 ,     1.9 ,       15 ,      67 ,Mostly Cloudy           ,0.17624736905134802
7/20/21  ,      78 ,     1.0 ,        8 ,      52 ,Partly Cloudy           ,0.17537654494476698
2/20/21  ,      32 ,     0.0 ,       14 ,      44 ,Fair                    ,0.17475927678253014
9/18/21  ,      75 ,     0.0 ,        7 ,      72 ,Partly Cloudy           ,0.17453960435969548
9/3/21   ,      78 ,     0.6 ,       12 ,      76 ,Thunder                 ,0.17355963279348247
1/28/21  ,      43 ,     0.0 ,        0 ,      35 ,Partly Cloudy           ,0.17324203936902577
3/3/21   ,      45 ,     0.0 ,        0 ,      26 ,Fair                    ,0.1716695571764936
8/28/21  ,      81 ,     0.0 ,        3 ,      74 ,Cloudy                  ,0.1704451560029443
12/6/21  ,      62 ,     0.9 ,       16 ,      68 ,Mostly Cloudy           ,0.17041843794428066
3/23/21  ,      63 ,     0.7 ,        6 ,      24 ,Partly Cloudy           ,0.16923415964925187
10/25/21 ,      74 ,     0.0 ,        0 ,      47 ,Partly Cloudy           ,0.1678375705051953
2/6/21   ,      50 ,     0.0 ,        5 ,      65 ,Mostly Cloudy           ,0.16765710563616373
5/21/21  ,      72 ,     0.0 ,       10 ,      82 ,Light Rain              ,0.16688455808661834
3/28/21  ,      54 ,     0.0 ,       13 ,      65 ,Light Rain              ,0.16682264091922297
3/31/21  ,      61 ,     0.0 ,       22 ,      78 ,Cloudy / Windy          ,0.16669871960730778
5/28/21  ,      70 ,     0.9 ,        9 ,      57 ,Partly Cloudy           ,0.16403983487572854
9/22/21  ,      71 ,     0.0 ,       18 ,      25 ,Partly Cloudy           ,0.16387057922085443
5/1/21   ,      70 ,     2.3 ,       14 ,      82 ,Light Rain              ,0.16242466591234953
10/17/21 ,      55 ,     0.0 ,        8 ,      27 ,Mostly Cloudy           ,0.15984340622639998
7/6/21   ,      76 ,     2.0 ,       12 ,      65 ,Mostly Cloudy           ,0.15922983839459745
9/23/21  ,      64 ,     0.0 ,        0 ,      29 ,Fair                    ,0.1566808065400728
5/9/21   ,      78 ,     0.0 ,       25 ,      61 ,Mostly Cloudy / Windy   ,0.1558359757509892
4/17/21  ,      57 ,     0.1 ,       16 ,      72 ,Light Rain              ,0.1553715582455925
1/9/21   ,      38 ,     0.0 ,        7 ,      47 ,Partly Cloudy           ,0.15514824453690051
10/14/21 ,      79 ,     0.3 ,        8 ,      82 ,Cloudy                  ,0.1550823877113803
5/23/21  ,      74 ,     2.3 ,       12 ,      85 ,Light Rain              ,0.15442689505793603
9/8/21   ,      73 ,     0.0 ,        9 ,      29 ,Mostly Cloudy           ,0.15247819953701697
11/27/21 ,      50 ,     0.1 ,        6 ,      72 ,Cloudy                  ,0.1512279032861794
1/1/21   ,      41 ,     0.0 ,        8 ,      51 ,Mostly Cloudy           ,0.15018169884980084
2/5/21   ,      48 ,     0.0 ,       18 ,      77 ,Cloudy                  ,0.14915799704092772
4/19/21  ,      53 ,     0.0 ,        3 ,      31 ,Partly Cloudy           ,0.14830521533901578
5/7/21   ,      64 ,     0.0 ,       12 ,      30 ,Mostly Cloudy           ,0.14640548225006605
1/31/21  ,      52 ,     0.0 ,       21 ,      31 ,Fair / Windy            ,0.14639267064935946
10/4/21  ,      73 ,     0.0 ,       14 ,      30 ,Partly Cloudy           ,0.1449159375639184
9/19/21  ,      76 ,     0.7 ,        0 ,      50 ,Mostly Cloudy           ,0.1440034565431341
11/26/21 ,      48 ,     0.0 ,       10 ,      35 ,Cloudy                  ,0.1432526540224224
1/26/21  ,      61 ,     0.0 ,       10 ,      26 ,Mostly Cloudy           ,0.14312182146784602
1/14/21  ,      41 ,     0.0 ,       20 ,      31 ,Fair                    ,0.14222239137136286
9/10/21  ,      77 ,     0.0 ,       14 ,      23 ,Fair                    ,0.14220104930872007
1/23/21  ,      61 ,     0.0 ,       13 ,      87 ,Cloudy                  ,0.14172819851285617
12/13/21 ,      52 ,     0.0 ,       10 ,      87 ,Cloudy                  ,0.14164600203306466
9/21/21  ,      79 ,     0.0 ,        0 ,      40 ,Mostly Cloudy           ,0.1392827018492205
3/19/21  ,      49 ,     0.0 ,       20 ,      35 ,Fair                    ,0.13877162013658167
3/4/21   ,      45 ,     0.0 ,       15 ,      33 ,Partly Cloudy           ,0.1379861590918751
3/12/21  ,      67 ,     0.0 ,       21 ,      50 ,Partly Cloudy / Windy   ,0.13634865251389727
2/27/21  ,      70 ,     0.0 ,       20 ,      74 ,Cloudy                  ,0.13618365855268783
11/28/21 ,      51 ,     0.0 ,        8 ,      75 ,Cloudy                  ,0.13544521264188508
4/10/21  ,      68 ,     0.0 ,       13 ,      20 ,Fair                    ,0.13419262540000018
4/2/21   ,      52 ,     0.0 ,       14 ,      30 ,Cloudy                  ,0.13380979665136067
2/7/21   ,      43 ,     0.0 ,       15 ,      52 ,Fair                    ,0.13369655729264449
4/24/21  ,      70 ,     0.0 ,       17 ,      29 ,Fair                    ,0.13209721332660987
2/21/21  ,      46 ,     0.0 ,       10 ,      51 ,Cloudy                  ,0.13184417097486212
3/5/21   ,      55 ,     0.0 ,        9 ,      66 ,Mostly Cloudy           ,0.131573312936924
4/12/21  ,      61 ,     0.0 ,        7 ,      17 ,Fair                    ,0.13113143248066078
8/27/21  ,      77 ,     0.8 ,       14 ,      57 ,Mostly Cloudy           ,0.1309615625007626
3/14/21  ,      60 ,     0.2 ,       17 ,      79 ,Cloudy                  ,0.1308288516560641
4/18/21  ,      53 ,     0.0 ,       10 ,      40 ,Mostly Cloudy           ,0.12855714558872736
2/26/21  ,      69 ,     0.0 ,       22 ,      58 ,Partly Cloudy / Windy   ,0.12852968278470375
7/12/21  ,      79 ,     0.1 ,       18 ,      53 ,Cloudy                  ,0.12836066123191583
6/4/21   ,      73 ,     0.3 ,        8 ,      71 ,Mostly Cloudy           ,0.12739841761326376
1/7/21   ,      45 ,     0.0 ,       16 ,      47 ,Partly Cloudy           ,0.12708119948284138
5/20/21  ,      66 ,     0.0 ,        8 ,      60 ,Cloudy                  ,0.12623557675467606
12/11/21 ,      51 ,     0.0 ,       13 ,      32 ,Cloudy                  ,0.12552149042235533
1/22/21  ,      63 ,     0.0 ,        6 ,      78 ,Cloudy                  ,0.12515304470386898
5/13/21  ,      65 ,     0.0 ,        7 ,      52 ,Cloudy                  ,0.12402946135532392
4/22/21  ,      56 ,     0.0 ,       17 ,      63 ,Cloudy                  ,0.12310903469695487
1/25/21  ,      68 ,     0.0 ,       12 ,      46 ,Cloudy                  ,0.12303949643883395
3/15/21  ,      61 ,     0.0 ,       12 ,      69 ,Cloudy                  ,0.1205167317777338
4/28/21  ,      76 ,     0.0 ,       21 ,      67 ,Cloudy / Windy          ,0.11961206133676298
10/1/21  ,      73 ,     0.3 ,        8 ,      79 ,Cloudy                  ,0.1190955419558337
1/4/21   ,      49 ,     0.0 ,        3 ,      43 ,Fair                    ,0.11829989890474703
12/1/21  ,      54 ,     0.0 ,        8 ,      44 ,Partly Cloudy           ,0.11812027768715158
3/9/21   ,      58 ,     0.0 ,       22 ,      51 ,Mostly Cloudy / Windy   ,0.11782181166390118
11/19/21 ,      50 ,     0.0 ,        3 ,      34 ,Fair                    ,0.11761612767980363
3/25/21  ,      64 ,     0.0 ,       15 ,      25 ,Fair                    ,0.11751663179647119
11/9/21  ,      57 ,     0.0 ,       12 ,      60 ,Cloudy                  ,0.11750892807289579
6/19/21  ,      79 ,     0.0 ,        3 ,      37 ,Partly Cloudy           ,0.11698489413080324
4/8/21   ,      61 ,     0.0 ,        5 ,      33 ,Fair                    ,0.11632447067073677
2/22/21  ,      51 ,     0.0 ,        5 ,      17 ,Fair                    ,0.11589272968720228
2/25/21  ,      66 ,     0.1 ,        8 ,      87 ,Cloudy                  ,0.11511712760303092
11/4/21  ,      52 ,     0.0 ,       15 ,      72 ,Cloudy                  ,0.11501565118135411
1/18/21  ,      42 ,     0.0 ,       14 ,      52 ,Mostly Cloudy           ,0.11495137697644343
1/16/21  ,      41 ,     0.0 ,       12 ,      18 ,Fair                    ,0.11487276257357959
1/29/21  ,      45 ,     0.0 ,       14 ,      58 ,Partly Cloudy           ,0.11364196302231157
10/30/21 ,      51 ,     0.0 ,       12 ,      18 ,Fair                    ,0.11301358589031821
12/9/21  ,      69 ,     0.0 ,       21 ,      57 ,Partly Cloudy / Windy   ,0.11237775487248344
12/30/21 ,      67 ,     0.0 ,        9 ,      58 ,Partly Cloudy           ,0.11235141800173754
10/16/21 ,      63 ,     0.0 ,       13 ,      29 ,Fair                    ,0.11083384065033629
6/1/21   ,      77 ,     0.0 ,        8 ,      54 ,Cloudy                  ,0.11082752416014889
3/26/21  ,      58 ,     0.0 ,       13 ,      44 ,Fair                    ,0.11050602564662196
10/10/21 ,      75 ,     0.0 ,       20 ,      65 ,Mostly Cloudy           ,0.11022197308982522
3/22/21  ,      57 ,     0.0 ,       21 ,      59 ,Mostly Cloudy / Windy   ,0.11018924628162205
12/8/21  ,      63 ,     0.0 ,        9 ,      76 ,Cloudy                  ,0.11014945980104687
8/11/21  ,      82 ,     0.0 ,        3 ,      51 ,Mostly Cloudy           ,0.11014855764045124
2/8/21   ,      53 ,     0.0 ,       15 ,      65 ,Cloudy                  ,0.10956608295780765
3/18/21  ,      50 ,     0.0 ,       18 ,      29 ,Fair                    ,0.1094607035208319
3/2/21   ,      49 ,     0.0 ,       13 ,      47 ,Fair                    ,0.10938364135116711
7/21/21  ,      77 ,     0.0 ,        3 ,      67 ,Mostly Cloudy           ,0.10892879396208019
6/7/21   ,      81 ,     0.0 ,       18 ,      61 ,Cloudy                  ,0.10889318728590344
6/21/21  ,      82 ,     0.6 ,       16 ,      54 ,Mostly Cloudy           ,0.1087492200571968
1/24/21  ,      61 ,     0.0 ,       16 ,      74 ,Cloudy                  ,0.10867941325360499
7/1/21   ,      79 ,     0.0 ,        0 ,      54 ,Mostly Cloudy           ,0.10867280900877656
