date,min_temp,rainfall,windspeed,humidity,cloudcover
5/27/21,74,0,15,59,Partly Cloudy
5/28/21,70,0.9,9,57,Partly Cloudy
5/29/21,70,0.7,0,40,Fair
5/30/21,75,0,14,63,Mostly Cloudy
5/31/21,75,0,16,61,Mostly Cloudy
6/1/21,77,0,8,54,Cloudy
6/2/21,73,0.2,14,57,Mostly Cloudy
6/3/21,72,1.9,7,76,Cloudy
6/4/21,73,0.3,8,71,Mostly Cloudy
6/5/21,73,0,14,67,Thunder
6/6/21,74,0.1,16,57,Mostly Cloudy
6/7/21,81,0,18,61,Cloudy
6/8/21,81,0,15,55,Partly Cloudy
6/9/21,81,0,12,58,Partly Cloudy
6/10/21,79,0,13,61,Mostly Cloudy
6/11/21,77,0,12,50,Mostly Cloudy
6/12/21,79,0,3,44,Partly Cloudy
6/13/21,81,0,7,43,Partly Cloudy
6/14/21,81,0,7,37,Partly Cloudy
6/15/21,75,0,10,40,Partly Cloudy
6/16/21,74,0,9,43,Mostly Cloudy
6/17/21,80,0,12,41,Mostly Cloudy
6/18/21,75,0,6,36,Fair
6/19/21,79,0,3,37,Partly Cloudy
6/20/21,80,0,10,61,Cloudy
6/21/21,82,0.6,16,54,Mostly Cloudy
6/22/21,0,1.3,14,54,Partly Cloudy
6/23/21,79,0.1,9,49,Mostly Cloudy
6/24/21,81,0,16,54,Mostly Cloudy
6/25/21,81,0,15,54,Mostly Cloudy
6/26/21,81,0.1,16,43,Mostly Cloudy
6/27/21,79,0.1,12,53,Mostly Cloudy
6/28/21,75,4.7,7,87,Light Rain
6/29/21,77,3.2,0,82,Mostly Cloudy
6/30/21,79,0,10,59,Mostly Cloudy
7/1/21,79,0,0,54,Mostly Cloudy
7/2/21,78,0.3,6,46,Mostly Cloudy
7/3/21,79,1,0,74,Cloudy
7/4/21,79,0.4,10,50,Mostly Cloudy
7/5/21,79,1.9,7,65,Mostly Cloudy
7/6/21,76,2,12,65,Mostly Cloudy
7/7/21,75,0.1,3,59,Mostly Cloudy
7/8/21,75,0.3,18,67,Cloudy
7/9/21,74,2.5,7,84,Light Rain
7/10/21,79,0,16,59,Mostly Cloudy
7/11/21,80,0,12,50,Mostly Cloudy
7/12/21,79,0.1,18,53,Cloudy
7/13/21,78,0.3,7,59,Mostly Cloudy
7/14/21,77,0.2,18,81,Light Rain with Thunder
7/15/21,77,0,12,63,Mostly Cloudy
7/16/21,80,0,12,52,Cloudy
7/17/21,78,0,10,44,Partly Cloudy
7/18/21,81,0,8,61,Mostly Cloudy
7/19/21,76,2.3,15,52,Mostly Cloudy
7/20/21,78,1,8,52,Partly Cloudy
7/21/21,77,0,3,67,Mostly Cloudy
7/22/21,78,0,8,52,Mostly Cloudy
7/23/21,81,0,12,47,Partly Cloudy
7/24/21,79,0,6,44,Fair
7/25/21,78,0,5,44,Mostly Cloudy
7/26/21,79,0,7,37,Fair
7/27/21,81,0,13,49,Mostly Cloudy
7/28/21,78,0,7,43,Mostly Cloudy
7/29/21,82,0,10,43,Mostly Cloudy
7/30/21,79,2.3,22,52,Thunder / Windy
7/31/21,80,0,10,67,Thunder in the Vicinity
8/1/21,81,0,13,59,Mostly Cloudy
8/2/21,81,0,7,52,Mostly Cloudy
8/3/21,79,0.3,10,59,Mostly Cloudy
8/4/21,78,0.3,9,59,Cloudy
8/5/21,81,0,12,59,Cloudy
8/6/21,78,0,7,79,T-Storm
8/7/21,79,0,13,54,Mostly Cloudy
8/8/21,81,0,15,54,Mostly Cloudy
8/9/21,82,0,15,52,Mostly Cloudy
8/10/21,82,0,14,46,Mostly Cloudy
8/11/21,82,0,3,51,Mostly Cloudy
8/12/21,79,0.2,0,47,Mostly Cloudy
8/13/21,80,0.1,9,79,Thunder
8/14/21,80,0,9,46,Partly Cloudy
8/15/21,0,4.9,7,52,Mostly Cloudy
8/16/21,76,0,12,53,Thunder
8/17/21,77,0,5,63,Mostly Cloudy
8/18/21,0,0.5,14,77,T-Storm
8/19/21,83,0,14,49,Mostly Cloudy
8/20/21,82,0,14,43,Partly Cloudy
8/21/21,80,0,14,46,Partly Cloudy
8/22/21,79,0,5,43,Mostly Cloudy
8/23/21,78,0,13,46,Partly Cloudy
8/24/21,80,0,8,46,Mostly Cloudy
8/25/21,81,0,5,52,Light Rain
8/26/21,0,0.8,7,55,Mostly Cloudy
8/27/21,77,0.8,14,57,Mostly Cloudy
8/28/21,81,0,3,74,Cloudy
8/29/21,78,0,9,44,Mostly Cloudy
8/30/21,80,0,9,40,Mostly Cloudy
8/31/21,81,0,7,43,Partly Cloudy
9/1/21,82,1,3,74,Mostly Cloudy
9/2/21,81,4.1,10,72,Cloudy
9/3/21,78,0.6,12,76,Thunder
9/4/21,77,0,5,41,Partly Cloudy
9/5/21,79,0,9,36,Partly Cloudy
