date     ,min_temp ,rainfall ,windspeed ,humidity ,cloudcover              ,OLS
8/25/21  ,      81 ,     0.0 ,        5 ,      52 ,Light Rain              ,0.272632614124512
9/1/21   ,      82 ,     1.0 ,        3 ,      74 ,Mostly Cloudy           ,0.2717952035825748
2/19/21  ,      26 ,     0.0 ,        7 ,      35 ,Fair                    ,0.2643556923393967
5/29/21  ,      70 ,     0.7 ,        0 ,      40 ,Fair                    ,0.2642228378021284
8/6/21   ,      78 ,     0.0 ,        7 ,      79 ,                        ,0.2615318084323656
5/21/21  ,      72 ,     0.0 ,       10 ,      82 ,Light Rain              ,0.26092281776412796
1/11/21  ,      36 ,     0.0 ,       17 ,      58 ,Mostly Cloudy           ,0.26028425271566175
1/28/21  ,      43 ,     0.0 ,        0 ,      35 ,Partly Cloudy           ,0.25875533006265095
4/3/21   ,      53 ,     0.0 ,       13 ,      58 ,Light Rain              ,0.2579674965881121
11/11/21 ,      62 ,     0.9 ,       14 ,      59 ,Fair                    ,0.25634977762087985
9/22/21  ,      71 ,     0.0 ,       18 ,      25 ,Partly Cloudy           ,0.2545602737905927
10/11/21 ,      71 ,     1.0 ,        3 ,      37 ,Partly Cloudy           ,0.2539475075306578
1/30/21  ,      58 ,     0.0 ,       18 ,      68 ,Light Rain              ,0.25242001948098036
10/17/21 ,      55 ,     0.0 ,        8 ,      27 ,Mostly Cloudy           ,0.2508432057586811
2/13/21  ,      36 ,     0.0 ,       13 ,      67 ,Cloudy                  ,0.2508202959022376
4/17/21  ,      57 ,     0.1 ,       16 ,      72 ,Light Rain              ,0.24983271903675944
10/7/21  ,      69 ,     0.0 ,        0 ,      27 ,Fair                    ,0.24920746959602608
3/3/21   ,      45 ,     0.0 ,        0 ,      26 ,Fair                    ,0.24794479853256718
1/14/21  ,      41 ,     0.0 ,       20 ,      31 ,Fair                    ,0.24746128996903302
5/9/21   ,      78 ,     0.0 ,       25 ,      61 ,Mostly Cloudy / Windy   ,0.2474610147947444
3/28/21  ,      54 ,     0.0 ,       13 ,      65 ,Light Rain              ,0.24722053718478382
11/21/21 ,      64 ,     1.0 ,        7 ,      62 ,Mostly Cloudy           ,0.24536372098662845
3/31/21  ,      61 ,     0.0 ,       22 ,      78 ,Cloudy / Windy          ,0.2441262029901614
12/13/21 ,      52 ,     0.0 ,       10 ,      87 ,Cloudy                  ,0.2437395953322204
2/6/21   ,      50 ,     0.0 ,        5 ,      65 ,Mostly Cloudy           ,0.24283112020839182
8/28/21  ,      81 ,     0.0 ,        3 ,      74 ,Cloudy                  ,0.24069789686986437
2/20/21  ,      32 ,     0.0 ,       14 ,      44 ,Fair                    ,0.23816586661509676
2/5/21   ,      48 ,     0.0 ,       18 ,      77 ,Cloudy                  ,0.23806669360977661
11/27/21 ,      50 ,     0.1 ,        6 ,      72 ,Cloudy                  ,0.23766035737707986
10/25/21 ,      74 ,     0.0 ,        0 ,      47 ,Partly Cloudy           ,0.23752509219538556
1/31/21  ,      52 ,     0.0 ,       21 ,      31 ,Fair / Windy            ,0.23750368347879397
9/10/21  ,      77 ,     0.0 ,       14 ,      23 ,Fair                    ,0.23580539460614958
9/23/21  ,      64 ,     0.0 ,        0 ,      29 ,Fair                    ,0.23535953595319836
9/19/21  ,      76 ,     0.7 ,        0 ,      50 ,Mostly Cloudy           ,0.23476118132329601
1/1/21   ,      41 ,     0.0 ,        8 ,      51 ,Mostly Cloudy           ,0.23378130455093918
1/26/21  ,      61 ,     0.0 ,       10 ,      26 ,Mostly Cloudy           ,0.23344024552800063
7/20/21  ,      78 ,     1.0 ,        8 ,      52 ,Partly Cloudy           ,0.22999341866949796
3/23/21  ,      63 ,     0.7 ,        6 ,      24 ,Partly Cloudy           ,0.229668207807674
10/14/21 ,      79 ,     0.3 ,        8 ,      82 ,Cloudy                  ,0.22966030882422847
9/18/21  ,      75 ,     0.0 ,        7 ,      72 ,Partly Cloudy           ,0.22960758193665895
9/21/21  ,      79 ,     0.0 ,        0 ,      40 ,Mostly Cloudy           ,0.2288105045802291
4/24/21  ,      70 ,     0.0 ,       17 ,      29 ,Fair                    ,0.2265166879845779
3/19/21  ,      49 ,     0.0 ,       20 ,      35 ,Fair                    ,0.2260988095517924
1/23/21  ,      61 ,     0.0 ,       13 ,      87 ,Cloudy                  ,0.22198976610161852
5/28/21  ,      70 ,     0.9 ,        9 ,      57 ,Partly Cloudy           ,0.22141495008517684
4/2/21   ,      52 ,     0.0 ,       14 ,      30 ,Cloudy                  ,0.22003895534270454
2/25/21  ,      66 ,     0.1 ,        8 ,      87 ,Cloudy                  ,0.21955339402987292
1/21/21  ,      61 ,     0.0 ,        9 ,      87 ,Cloudy                  ,0.21729786019586297
12/6/21  ,      62 ,     0.9 ,       16 ,      68 ,Mostly Cloudy           ,0.21568409203995983
11/28/21 ,      51 ,     0.0 ,        8 ,      75 ,Cloudy                  ,0.21446685447217004
5/7/21   ,      64 ,     0.0 ,       12 ,      30 ,Mostly Cloudy           ,0.2127298393833992
3/9/21   ,      58 ,     0.0 ,       22 ,      51 ,Mostly Cloudy / Windy   ,0.21177951611191678
4/10/21  ,      68 ,     0.0 ,       13 ,      20 ,Fair                    ,0.20813989884344597
9/8/21   ,      73 ,     0.0 ,        9 ,      29 ,Mostly Cloudy           ,0.20772278944408748
11/26/21 ,      48 ,     0.0 ,       10 ,      35 ,Cloudy                  ,0.20707006405551495
12/11/21 ,      51 ,     0.0 ,       13 ,      32 ,Cloudy                  ,0.2070480274507813
1/9/21   ,      38 ,     0.0 ,        7 ,      47 ,Partly Cloudy           ,0.20500500700239796
1/16/21  ,      41 ,     0.0 ,       12 ,      18 ,Fair                    ,0.20494554604254306
8/12/21  ,      79 ,     0.2 ,        0 ,      47 ,Mostly Cloudy           ,0.20302124427483995
3/12/21  ,      67 ,     0.0 ,       21 ,      50 ,Partly Cloudy / Windy   ,0.20189930182633392
2/22/21  ,      51 ,     0.0 ,        5 ,      17 ,Fair                    ,0.20108364673799453
1/22/21  ,      63 ,     0.0 ,        6 ,      78 ,Cloudy                  ,0.20107766656359066
4/19/21  ,      53 ,     0.0 ,        3 ,      31 ,Partly Cloudy           ,0.20058800885715233
7/1/21   ,      79 ,     0.0 ,        0 ,      54 ,Mostly Cloudy           ,0.20058553194430476
3/14/21  ,      60 ,     0.2 ,       17 ,      79 ,Cloudy                  ,0.20002374484038685
2/7/21   ,      43 ,     0.0 ,       15 ,      52 ,Fair                    ,0.19942159902236994
1/17/21  ,      41 ,     0.0 ,       10 ,      18 ,Fair                    ,0.1988457408929615
7/21/21  ,      77 ,     0.0 ,        3 ,      67 ,Mostly Cloudy           ,0.19836580837706183
3/8/21   ,      47 ,     0.0 ,       12 ,      42 ,Mostly Cloudy           ,0.1980182646623309
4/18/21  ,      53 ,     0.0 ,       10 ,      40 ,Mostly Cloudy           ,0.1978770275240232
9/6/21   ,      76 ,     0.0 ,        0 ,      50 ,Mostly Cloudy           ,0.19742801462176882
2/26/21  ,      69 ,     0.0 ,       22 ,      58 ,Partly Cloudy / Windy   ,0.19737447081656223
10/1/21  ,      73 ,     0.3 ,        8 ,      79 ,Cloudy                  ,0.1973613977987519
12/24/21 ,      64 ,     0.0 ,       23 ,      54 ,Mostly Cloudy / Windy   ,0.1970913778812707
4/12/21  ,      61 ,     0.0 ,        7 ,      17 ,Fair                    ,0.1968696686067274
1/18/21  ,      42 ,     0.0 ,       14 ,      52 ,Mostly Cloudy           ,0.1968296994379141
1/8/21   ,      42 ,     0.0 ,       12 ,      52 ,Mostly Cloudy           ,0.1931061526122233
3/18/21  ,      50 ,     0.0 ,       18 ,      29 ,Fair                    ,0.19293156311244997
10/4/21  ,      73 ,     0.0 ,       14 ,      30 ,Partly Cloudy           ,0.19250035307580993
2/27/21  ,      70 ,     0.0 ,       20 ,      74 ,Cloudy                  ,0.19129899446136486
3/25/21  ,      64 ,     0.0 ,       15 ,      25 ,Fair                    ,0.1907152727553324
10/2/21  ,      76 ,     0.0 ,        3 ,      65 ,Mostly Cloudy           ,0.1891078020804549
3/4/21   ,      45 ,     0.0 ,       15 ,      33 ,Partly Cloudy           ,0.18651544939756923
3/22/21  ,      57 ,     0.0 ,       21 ,      59 ,Mostly Cloudy / Windy   ,0.18616763642340514
